No	TMNo	EnNo	Name	INOUT	Mode	DateTime
1	3	0		0	6	2020/04/03 14:54:08
2	3	0		0	2	2020/04/03 14:54:09
3	3	0		0	2	2020/04/03 14:54:09
4	3	0		0	2	2020/04/03 14:54:09
5	3	300		0	0	2018/08/07 01:35:56
6	3	300		0	0	2021/01/19 15:12:53
7	3	1001		0	0	2021/01/19 15:17:50
8	3	1001		0	0	2021/01/19 15:18:03
9	3	300		0	0	2021/01/19 16:20:54
10	3	5		0	0	2021/02/07 18:14:02
11	3	2		0	0	2021/02/07 18:30:39
12	3	24		0	0	2021/02/07 18:33:38
13	3	24		0	0	2021/02/07 19:16:43
14	3	0		0	1	2021/03/08 14:47:53
15	3	0		0	0	2021/03/08 14:47:53
16	3	35		0	0	2021/03/31 17:14:06
17	3	31		0	0	2021/03/31 17:14:29
18	3	30		0	0	2021/03/31 17:15:23
19	3	33		0	0	2021/03/31 17:16:23
20	3	32		0	0	2021/03/31 17:17:17
21	3	29		0	0	2021/03/31 17:17:58
22	3	26		0	0	2021/03/31 17:18:39
23	3	25		0	0	2021/03/31 17:20:08
24	3	24		0	0	2021/03/31 17:21:20
25	3	22		0	0	2021/03/31 17:21:59
26	3	21		0	0	2021/03/31 17:22:42
27	3	20		0	0	2021/03/31 17:24:19
28	3	19		0	0	2021/03/31 17:24:49
29	3	18		0	0	2021/03/31 17:25:25
30	3	14		0	0	2021/03/31 17:26:12
31	3	12		0	0	2021/03/31 17:26:45
32	3	11		0	0	2021/03/31 17:27:38
33	3	8		0	0	2021/03/31 17:28:30
34	3	6		0	0	2021/03/31 17:29:30
35	3	5		0	0	2021/03/31 17:30:18
36	3	36		0	0	2021/03/31 17:31:00
37	3	37		0	0	2021/03/31 17:31:33
38	3	38		0	0	2021/03/31 17:33:52
39	3	1		0	0	2021/03/31 18:52:09
40	3	16		0	0	2021/03/31 18:52:55
41	3	22		0	0	2021/04/03 06:30:35
42	3	38		0	0	2021/04/03 07:04:52
43	3	30		0	0	2021/04/03 07:06:46
44	3	6		0	0	2021/04/03 07:12:32
45	3	35		0	0	2021/04/03 07:14:24
46	3	32		0	0	2021/04/03 07:17:23
47	3	5		0	0	2021/04/03 07:19:26
48	3	6		0	0	2021/04/03 07:49:37
49	3	7		0	0	2021/04/03 07:53:58
50	3	14		0	0	2021/04/03 07:55:45
51	3	7		0	0	2021/04/03 07:55:55
52	3	29		0	0	2021/04/03 07:57:14
53	3	401		0	0	2021/04/03 07:58:19
54	3	38		0	0	2021/04/03 07:58:23
55	3	7		0	0	2021/04/03 08:02:17
56	3	31		0	0	2021/04/03 08:13:24
57	3	18		0	0	2021/04/03 08:16:23
58	3	38		0	0	2021/04/03 08:18:43
59	3	8		0	0	2021/04/03 08:19:24
60	3	39		0	0	2021/04/03 08:25:52
61	3	6		0	0	2021/04/03 08:26:06
62	3	37		0	0	2021/04/03 08:39:41
63	3	16		0	0	2021/04/03 08:47:19
64	3	6		0	0	2021/04/03 08:47:24
65	3	6		0	0	2021/04/03 08:47:26
66	3	6		0	0	2021/04/03 08:47:47
67	3	31		0	0	2021/04/03 08:49:34
68	3	22		0	0	2021/04/03 08:49:47
69	3	22		0	0	2021/04/03 08:49:53
70	3	25		0	0	2021/04/03 08:55:11
71	3	24		0	0	2021/04/03 09:11:42
72	3	11		0	0	2021/04/03 09:16:45
73	3	6		0	0	2021/04/03 09:32:35
74	3	7		0	0	2021/04/03 10:05:15
75	3	40		0	0	2021/04/03 10:18:59
76	3	35		0	0	2021/04/03 10:35:00
77	3	402		0	0	2021/04/03 10:47:00
78	3	402		0	0	2021/04/03 10:56:01
79	3	7		0	0	2021/04/03 11:05:40
80	3	8		0	0	2021/04/03 11:05:44
81	3	18		0	0	2021/04/03 11:05:46
82	3	410		0	0	2021/04/03 11:09:25
83	3	409		0	0	2021/04/03 11:10:26
84	3	408		0	0	2021/04/03 11:11:07
85	3	407		0	0	2021/04/03 11:11:51
86	3	406		0	0	2021/04/03 11:12:34
87	3	405		0	0	2021/04/03 11:13:20
88	3	404		0	0	2021/04/03 11:14:06
89	3	403		0	0	2021/04/03 11:15:01
90	3	404		0	0	2021/04/03 11:15:21
91	3	1		0	0	2021/04/03 12:01:01
92	3	8		0	0	2021/04/03 12:24:25
93	3	411		0	0	2021/04/03 12:56:46
94	3	411		0	0	2021/04/03 13:00:52
95	3	37		0	0	2021/04/03 13:01:09
96	3	22		0	0	2021/04/03 13:16:14
97	3	403		0	0	2021/04/03 13:57:26
98	3	25		0	0	2021/04/03 14:31:58
99	3	41		0	0	2021/04/03 14:56:35
100	3	18		0	0	2021/04/03 14:57:41
101	3	40		0	0	2021/04/03 14:58:27
102	3	40		0	0	2021/04/03 15:15:14
103	3	11		0	0	2021/04/03 15:26:18
104	3	7		0	0	2021/04/03 15:26:27
105	3	35		0	0	2021/04/03 15:45:34
106	3	7		0	0	2021/04/03 16:02:00
107	3	31		0	0	2021/04/03 16:39:41
108	3	24		0	0	2021/04/03 16:45:07
109	3	6		0	0	2021/04/03 16:51:57
110	3	11		0	0	2021/04/03 16:52:55
111	3	404		0	0	2021/04/03 16:53:28
112	3	39		0	0	2021/04/03 16:53:39
113	3	408		0	0	2021/04/03 18:04:20
114	3	6		0	0	2021/04/03 19:23:59
115	3	32		0	0	2021/04/04 07:16:45
116	3	29		0	0	2021/04/04 07:23:56
117	3	25		0	0	2021/04/04 07:24:31
118	3	38		0	0	2021/04/04 07:24:42
119	3	407		0	0	2021/04/04 07:33:46
120	3	11		0	0	2021/04/04 07:33:50
121	3	11		0	0	2021/04/04 07:33:56
122	3	6		0	0	2021/04/04 07:34:19
123	3	7		0	0	2021/04/04 07:39:13
124	3	32		0	0	2021/04/04 07:40:45
125	3	14		0	0	2021/04/04 07:41:29
126	3	6		0	0	2021/04/04 07:43:23
127	3	404		0	0	2021/04/04 07:51:07
128	3	5		0	0	2021/04/04 08:06:42
129	3	32		0	0	2021/04/04 08:07:48
130	3	18		0	0	2021/04/04 08:18:44
131	3	25		0	0	2021/04/04 08:29:05
132	3	412		0	0	2021/04/04 08:35:26
133	3	413		0	0	2021/04/04 08:36:36
134	3	414		0	0	2021/04/04 08:37:32
135	3	415		0	0	2021/04/04 08:38:15
136	3	416		0	0	2021/04/04 08:39:00
137	3	8		0	0	2021/04/04 08:40:08
138	3	411		0	0	2021/04/04 08:43:57
139	3	6		0	0	2021/04/04 08:45:14
140	3	21		0	0	2021/04/04 09:10:24
141	3	24		0	0	2021/04/04 09:11:20
142	3	6		0	0	2021/04/04 09:11:30
143	3	26		0	0	2021/04/04 09:13:36
144	3	16		0	0	2021/04/04 09:14:50
145	3	40		0	0	2021/04/04 09:19:58
146	3	402		0	0	2021/04/04 09:39:12
147	3	11		0	0	2021/04/04 09:41:04
148	3	408		0	0	2021/04/04 09:53:54
149	3	21		0	0	2021/04/04 09:54:34
150	3	24		0	0	2021/04/04 09:54:36
151	3	24		0	0	2021/04/04 09:54:39
152	3	24		0	0	2021/04/04 09:54:44
153	3	24		0	0	2021/04/04 09:54:50
154	3	18		0	0	2021/04/04 10:40:04
155	3	12		0	0	2021/04/04 10:46:16
156	3	14		0	0	2021/04/04 10:52:20
157	3	6		0	0	2021/04/04 10:53:31
158	3	7		0	0	2021/04/04 11:18:21
159	3	18		0	0	2021/04/04 11:19:16
160	3	1		0	0	2021/04/04 11:47:37
161	3	38		0	0	2021/04/04 11:59:37
162	3	24		0	0	2021/04/04 12:20:14
163	3	409		0	0	2021/04/04 12:33:55
164	3	19		0	0	2021/04/04 12:34:45
165	3	21		0	0	2021/04/04 13:05:39
166	3	24		0	0	2021/04/04 13:07:37
167	3	11		0	0	2021/04/04 13:08:58
168	3	11		0	0	2021/04/04 13:09:13
169	3	403		0	0	2021/04/04 13:09:19
170	3	39		0	0	2021/04/04 13:45:11
